slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-42-2582-01Z-00-DX1.891d6182-c96b-4709-abeb-314d6874856a.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-42-2587-01Z-00-DX1.7a887a16-a8bc-403b-ab71-a8b43e5613fc.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-42-2588-01Z-00-DX1.e0bd9f78-2078-4bc3-867b-136d117f7b13.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-42-2589-01Z-00-DX1.c3abd56a-7d75-4972-982f-3d86da96ad1b.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-42-2590-01Z-00-DX1.83ff5df9-0f36-4884-a93e-f2928ff3c719.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-42-2591-01Z-00-DX1.ea85e14f-5f0a-4ed0-9afe-025bb95fca40.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-42-2593-01Z-00-DX1.9d506f1d-a5b3-4643-bd12-91c33fae4286.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-57-1582-01Z-00-DX1.BDF02DAA-E520-46BD-A479-58CAA4354B1A.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-57-1583-01Z-00-DX1.88ACB045-1DBD-4F0B-A6D0-53B6C208805C.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-57-1585-01Z-00-DX1.934E0F30-F804-4CFA-92D5-41576DA6C367.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-57-1586-01Z-00-DX1.5C85A9B1-9ACC-4D62-BA09-91F8BDB2A058.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-57-1992-01Z-00-DX1.1022B1ED-3DC1-4F71-8635-0F8B28138B8C.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-57-1993-01Z-00-DX1.464F641B-AA9F-49A7-A224-88D9847159DF.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-57-1994-01Z-00-DX1.A0798185-30C5-4C32-B1A8-B440D4F4ED95.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-59-A5PD-01Z-00-DX1.0A4D38A2-7B15-4550-B00C-4276485A9613.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-OY-A56P-01Z-00-DX1.59CA76B0-5613-48CB-ACE7-6F808B8A9423.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-OY-A56Q-01Z-00-DX1.F1556F26-8845-4962-9004-70F9747B46B7.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-VG-A8LO-01A-01-DX1.B39A4D64-82A1-4A04-8AB6-918F3058B83B.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-VG-A8LO-01A-02-DX2.9B58474C-DAC0-4D45-B13C-0A1EA9E1BC32.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-WR-A838-01Z-00-DX1.5FE22DE4-CEFB-45F6-9299-505023A8F3BA.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
