slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
TCGA-13-A5FT-01Z-00-DX1.2B292DC8-7336-4CD9-AB1A-F6F482E6151A.svs,0,already_exist,-1,8,7,4,False,none,none,100.0,16.0,8,-1,250,True,four_pt
TCGA-23-1021-01Z-00-DX1.F07C221B-D401-47A5-9519-10DE59CA1E9D.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1022-01Z-00-DX1.AF9E523E-CB0F-4AB5-AD43-C96731BF9141.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1023-01Z-00-DX1.0C96E118-A4D9-4A9A-B95E-C0AA114D2483.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1024-01Z-00-DX1.B9194D3F-C6F4-4FC8-B0CA-6E347FF4F885.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1026-01Z-00-DX1.2875B4F7-D6B2-4C72-8A68-4E7C92D04BF0.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1027-01Z-00-DX1.53F9DFF4-6811-4184-B2FD-1F6706B948FD.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1028-01Z-00-DX1.117B4B7B-F796-4D33-A645-CD80E5C43E6D.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1029-01Z-00-DX1.0044B39A-51B3-4F76-90A9-00CDF851DE2A.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1030-01Z-00-DX1.FC93147F-FB55-4C62-B187-337A5C107096.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1031-01Z-00-DX1.12B1996D-E5BB-424C-B59E-4BE7E1ED6BA1.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1032-01Z-00-DX1.0C1074AE-D59C-4C74-B929-593AE89E5DC1.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1107-01Z-00-DX1.5B9C1283-62B5-4329-873D-009FA939CA69.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1109-01Z-00-DX1.FB0886B9-8108-4A74-8A29-FEA4381AD69C.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1110-01Z-00-DX1.61C2DBB8-7F5C-4878-BEDC-6AE061A2D7D4.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1111-01Z-00-DX1.A99421E1-C73E-42AE-990F-E5E6D26EDDBE.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-23-1113-01Z-00-DX1.D72B1587-444A-4DEC-8D92-703699822BE2.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
TCGA-3P-A9WA-01Z-00-DX1.A5FDC436-7F0D-4DD2-8644-CEF1BFF9C614.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
TCGA-5X-AA5U-01Z-00-DX1.1A03C105-4086-4AAB-B821-A9E8156FA704.svs,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
